Area,Bedrooms,Bathrooms,House_Age,Distance_From_City,Price
1360,5,1,29,47,50000
4272,6,1,23,38,471865
3592,1,1,41,15,334110
966,1,1,29,21,50000
4926,1,1,13,35,500388
3944,1,1,5,46,324524
3671,1,1,2,14,473324
3419,2,2,15,36,310428
630,6,3,6,12,253411
2185,5,4,13,17,408413
1269,3,1,8,39,72714
2891,3,1,14,9,405803
2933,6,4,20,35,403672
1684,6,1,34,13,241946
3885,3,2,1,15,516776
4617,3,3,26,18,568873
3404,2,2,1,33,391310
974,4,4,34,6,186608
1582,5,2,17,27,224893
3058,1,1,13,23,316114
2547,4,4,19,27,301537
3247,6,4,17,34,426595
1475,3,1,9,46,57062
2306,4,2,24,38,198025
689,5,4,1,14,245532
3234,6,4,24,36,396124
3505,1,1,32,8,402672
2399,1,1,35,35,99266
1767,5,1,30,19,209614
2028,5,2,13,30,264742
3702,3,1,0,14,525296
4056,1,1,45,20,345494
4390,6,1,15,49,451714
1146,4,1,45,25,50000
3388,6,2,2,40,426628
2935,2,1,34,24,239232
1100,2,1,40,14,65082
2863,5,4,5,26,430647
2561,3,2,24,38,212219
741,2,2,12,23,95114
2541,1,1,33,22,193805
3324,6,2,7,48,368336
3112,6,2,20,19,434968
1863,5,3,33,46,147231
1978,4,2,3,3,381809
3056,5,2,24,42,308448
1275,4,2,14,19,211577
4514,5,2,3,9,695128
534,5,3,44,28,50000
3652,5,2,11,20,488704
2455,4,2,31,45,167550
2085,4,3,31,7,335498
4443,5,4,27,14,612823
3573,2,1,12,9,463422
1521,3,3,30,19,177087
3961,3,3,13,47,389088
3113,3,1,19,14,389617
4343,4,3,17,38,459765
2000,4,3,28,36,172050
661,2,2,5,40,50000
4797,3,1,31,17,553262
2481,3,2,28,30,215455
1495,5,1,42,9,234214
3842,4,3,1,33,468622
4298,3,3,22,25,495304
1775,6,4,18,14,359754
1516,2,1,30,11,151908
837,6,2,50,35,50000
1378,6,4,4,41,227077
1576,2,2,18,14,206686
4493,6,4,33,30,562879
879,3,2,9,41,50000
992,4,4,24,4,242683
2562,2,2,1,4,396179
4384,5,4,10,28,592330
564,6,2,49,8,119035
3068,2,2,30,2,406601
2527,1,1,14,41,149860
3195,1,1,8,46,230630
1995,4,3,22,22,258682
891,3,3,18,41,50000
4974,4,4,8,16,723461
4061,4,4,34,29,461046
2778,4,4,20,49,231710
3599,4,2,8,48,339457
700,5,2,27,30,76462
3604,5,2,45,12,469367
2954,2,2,50,35,183109
4145,1,1,6,11,520882
1304,4,3,15,46,67433
3231,2,2,15,50,228624
3273,1,1,32,21,308193
2070,6,4,3,21,415677
3190,3,2,3,5,506687
4340,5,2,38,48,387229
1528,6,3,39,20,201319
1002,1,1,16,37,50000
4993,6,2,36,3,695897
1370,3,3,38,44,50000
4988,1,1,28,33,453271
706,6,4,35,9,204412
1984,5,1,37,9,261986
1363,5,1,38,4,222263
3290,2,1,49,35,183501
1063,6,3,36,17,176617
4691,4,2,34,34,482004
2257,6,3,6,24,375470
2178,1,1,26,32,92864
3742,1,1,27,1,435878
1559,6,4,21,8,332031
2222,3,1,13,45,149352
3814,5,4,6,23,573936
3657,1,1,36,47,190347
3125,5,3,21,40,349815
3229,1,1,4,12,426359
2097,2,2,1,12,315756
3560,4,4,26,46,347297
3193,1,1,20,47,157465
4127,5,4,37,15,576920
1863,2,2,14,41,93887
2481,1,1,20,19,225068
2163,3,2,9,26,254594
2029,4,3,22,29,213585
2538,1,1,38,22,174048
3802,2,1,4,40,365448
2737,3,3,0,21,399598
1806,6,4,12,38,239616
4529,2,1,20,20,531230
3175,2,2,25,29,305238
1782,3,3,49,4,265353
1209,2,2,44,7,102003
4913,3,2,20,28,564928
4248,1,1,17,28,423449
